﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3vBJYnujT3yxLjLEG1jtDS","Music Is Math","Boards of Canada","Geogaddi","1","2","321453","spotify:user:yaydevally","2016-11-04T14:27:46Z"
"spotify:track:0BSJ1iQEmGibLCPMHGtdo7","Lost In Thought","Jon Hopkins","Opalescent","1","5","376733","spotify:user:yaydevally","2016-11-04T14:27:46Z"
"spotify:track:6FX4bnL4wZWheKbftUUFVz","Find Your Cloud","Papadosio","T.E.T.I.O.S.","2","6","516746","spotify:user:yaydevally","2016-11-04T14:28:10Z"
"spotify:track:0jS8kEsKM66nS11LLElFcg","Milla’s Dream","Parov Stelar","Siddharta - Dubaï","1","2","220226","spotify:user:yaydevally","2016-11-04T14:28:10Z"
"spotify:track:6pV1MNiGYYZPNNWnzCHaDp","Say Sumthin","Kev Brown","I Do What I Do (Instrumentals)","1","3","183906","spotify:user:yaydevally","2016-11-04T14:28:10Z"
"spotify:track:5zYgFOCkYxPbfzq0PYoUR6","Easy Muffin","Amon Tobin","Bricolage","1","2","271253","spotify:user:yaydevally","2016-11-04T14:28:10Z"
"spotify:track:2pLBnncte8HnrPKM2D6ag5","Slowly","Amon Tobin","Supermodified","1","3","337506","spotify:user:yaydevally","2016-11-04T14:28:10Z"
"spotify:track:3t7ubv3jEoV1twd5DJPwAJ","Nices Wölkchen (feat. Apparat)","DJ Koze","Amygdala","1","2","331093","spotify:user:yaydevally","2016-11-04T14:28:10Z"
"spotify:track:6O7qFEXmLQcOsV37wrgJDz","Muy Tranquilo","Gramatik","SB3","1","10","233755","spotify:user:yaydevally","2016-11-04T14:28:10Z"
"spotify:track:4liKKNIFAWcT9HCAezQ4z4","Eine Kleine Hedmusik","Coldcut","Ninja Cuts - Funkjazztical Tricknology","1","16","250400","spotify:user:yaydevally","2016-11-04T14:28:10Z"
"spotify:track:6cV261MfsqV6HY8SOZW6wu","Return to Margin - Afterlife Remix","Coldcut","TOP 40 Chillout Classic Bar Grooves","1","1","358666","spotify:user:yaydevally","2016-11-04T14:28:10Z"
"spotify:track:6OCMtYgfHEOcTgEtwChvJE","Porno Disaster","The Octopus Project","Identification Parade","1","8","149920","spotify:user:yaydevally","2016-11-04T14:28:10Z"
"spotify:track:4YH9ewfKo5NWA2RBiUr9UJ","Fuguefat","The Octopus Project","Hexadecagon","1","1","216613","spotify:user:yaydevally","2016-11-04T14:28:10Z"
"spotify:track:501SIhW9HgQODkAmrhp5zJ","Snow Tip Cap Mountain","The Octopus Project","Hello, Avalanche","1","1","134613","spotify:user:yaydevally","2016-11-04T14:28:10Z"
"spotify:track:6V3cRxxIGT5mOJX0xjjjqn","Change","DJ Premier","Beats That Collected Dust Vol. 2","1","8","120894","spotify:user:yaydevally","2016-11-04T14:28:10Z"
